year,co,no2,o3,pm10,pm25,so2,road_category,link_length_km,speed,motorcycles,cars,buses,others
2016,1.4957815924712674,173.65,138.45156322364662,34.9,21.456235662413672,24.6,PA,37.1,21.83,12656.0,655136.0,11568.0,170131.0
2016,1.4001581649237316,148.13333333333333,141.25,28.52,19.85,68.66449702090253,PA,68.39999999999999,20.41,21537.0,1155866.0,23714.0,278081.0
2016,1.6087638440040224,227.23333333333335,103.2,58.6,30.9093121097116,69.061705183599,PA,54.9,20.2,24495.0,1040799.0,35394.0,275258.0
2016,1.7746236469792125,279.4,121.3,33.32,24.733333333333334,17.6,PA,38.0,14.86,89773.0,959884.0,88550.0,410323.0
2016,1.7282255196826795,273.59999999999997,101.04658825003025,52.26666666666667,29.35,69.22442321386163,PA,12.7,34.69,70332.0,481813.0,39441.0,278222.0
2016,1.4439220173875893,164.6,104.71820384432162,35.6,33.0,68.82863669175255,PA,77.2,17.73,21108.0,1044805.0,26576.0,237428.0
2016,1.5885458430702386,220.1,65.4,42.980000000000004,23.3,69.12949818771752,PA,54.199999999999996,18.36,30421.0,1120116.0,27663.0,305694.0
2016,1.4903333283127467,179.65,107.67601533513556,49.95,27.885688721514818,59.8,PA,80.4,15.14,16604.0,1061600.0,21708.0,274478.0
2016,1.4903333283127467,179.65,107.67601533513556,49.95,27.885688721514818,59.8,TM,11.2,55.53,1011.0,190613.0,411.0,90170.0
2016,1.5480455643094462,194.57777777777778,117.73999999999998,38.96666666666667,23.666666666666668,28.6,PA,65.9,18.83,42717.0,1204101.0,37488.0,359178.0
2016,1.4333747013253242,160.4,120.1,40.3,24.177641973172737,68.77224040688859,PA,35.7,13.37,57353.0,929338.0,71628.0,364359.0
2016,1.8494539772160055,320.8,120.32433998975901,43.3,25.00826157547787,69.32940431267465,PA,32.1,16.64,52741.0,875687.0,41805.0,272445.0
2016,1.4954841494331212,184.45,137.5,38.65620146701387,24.5,68.80735401089503,PA,37.1,15.68,23137.0,702426.0,48170.0,183324.0
2016,1.4457465685829574,165.8,149.1469592286419,26.9,19.8,68.7033068674522,PA,40.4,24.33,4699.0,473338.0,11672.0,69291.0
2016,1.4457465685829574,165.8,149.1469592286419,26.9,19.8,68.7033068674522,TM,1.0,61.63,737.0,67829.0,682.0,22688.0
2016,1.5342170902031538,199.5,129.9671251666619,36.05,23.9,68.87847939811859,PA,49.5,25.66,12285.0,755560.0,16045.0,201029.0
